?place	?placeLabel
<http://www.wikidata.org/entity/Q114128>	"Kastrup Station"@da
<http://www.wikidata.org/entity/Q117357>	"Helgenæs"@da
<http://www.wikidata.org/entity/Q119132>	"Ubjerg Sogn"@da
<http://www.wikidata.org/entity/Q120238>	"Dreslette Sogn"@da
<http://www.wikidata.org/entity/Q122227>	"Strøby Sogn"@da
<http://www.wikidata.org/entity/Q124882>	"IT-Universitetet i København"@da
<http://www.wikidata.org/entity/Q125316>	"Fårup Sommerland"@da
<http://www.wikidata.org/entity/Q125745>	"Sakskøbing Sogn"@da
<http://www.wikidata.org/entity/Q126212>	"Søby"@da
<http://www.wikidata.org/entity/Q126212>	"Søby"@da
<http://www.wikidata.org/entity/Q127128>	"Malt Sogn"@da
<http://www.wikidata.org/entity/Q127148>	"Esbjerg Lufthavn"@da
<http://www.wikidata.org/entity/Q127201>	"Vesthimmerlands Flyveplads"@da
<http://www.wikidata.org/entity/Q127331>	"Karup Lufthavn"@da
<http://www.wikidata.org/entity/Q127567>	"Tønder-Tinglev-banen"@da
<http://www.wikidata.org/entity/Q127853>	"VM i curling 2011"@da
<http://www.wikidata.org/entity/Q129107>	"Q129107"
<http://www.wikidata.org/entity/Q129608>	"Det Classenske Bibliotek"@da
<http://www.wikidata.org/entity/Q129763>	"Nødebo Kirke"@da
<http://www.wikidata.org/entity/Q130151>	"Nørre Alslev Kirke"@da
<http://www.wikidata.org/entity/Q130152>	"Aastrup Kirke"@da
<http://www.wikidata.org/entity/Q132010>	"Røsnæs Sogn"@da
<http://www.wikidata.org/entity/Q137603>	"Væggerløse Sogn"@da
<http://www.wikidata.org/entity/Q138654>	"Kirke Hvalsø Sogn"@da
<http://www.wikidata.org/entity/Q140195>	"Sallingsundbroen"@da
<http://www.wikidata.org/entity/Q143377>	"Damsholte Sogn"@da
<http://www.wikidata.org/entity/Q143422>	"Bredstrup Sogn"@da
<http://www.wikidata.org/entity/Q146165>	"Nordisk Råd"@da
<http://www.wikidata.org/entity/Q149905>	"Vindeballe"@da
<http://www.wikidata.org/entity/Q150939>	"Operation Weserübung"@da
<http://www.wikidata.org/entity/Q151653>	"Q151653"
<http://www.wikidata.org/entity/Q152058>	"Danmarksstrædet"@da
<http://www.wikidata.org/entity/Q154125>	"Nord Stream"@da
<http://www.wikidata.org/entity/Q154897>	"Aabenraa"@da
<http://www.wikidata.org/entity/Q159318>	"Herrnhutiske Brødremenighed"@da
<http://www.wikidata.org/entity/Q161975>	"Rødby"@da
<http://www.wikidata.org/entity/Q163518>	"Peberholm"@da
<http://www.wikidata.org/entity/Q163724>	"Gudme Sogn"@da
<http://www.wikidata.org/entity/Q164071>	"Sønderjyllands Amt"@da
<http://www.wikidata.org/entity/Q164077>	"Nyord Sogn"@da
<http://www.wikidata.org/entity/Q164490>	"Herlev Kommune"@da
<http://www.wikidata.org/entity/Q165383>	"Als"@da
<http://www.wikidata.org/entity/Q165793>	"Thyborøn"@da
<http://www.wikidata.org/entity/Q167950>	"Tullebølle Sogn"@da
<http://www.wikidata.org/entity/Q173967>	"Vejlby Sogn"@da
<http://www.wikidata.org/entity/Q174005>	"Asserballe Sogn"@da
<http://www.wikidata.org/entity/Q174321>	"Humble"@da
<http://www.wikidata.org/entity/Q174379>	"Vejrø"@da
<http://www.wikidata.org/entity/Q174558>	"Sønderby Sogn"@da
<http://www.wikidata.org/entity/Q175567>	"Bjerreby Sogn"@da
<http://www.wikidata.org/entity/Q175647>	"Bjernede Kirke"@da
<http://www.wikidata.org/entity/Q175671>	"Præstø Sogn"@da
<http://www.wikidata.org/entity/Q175769>	"Kunstmuseet Brundlund Slot"@da
<http://www.wikidata.org/entity/Q178432>	"Horbelev Sogn"@da
<http://www.wikidata.org/entity/Q178851>	"Værløse Kommune"@da
<http://www.wikidata.org/entity/Q179629>	"Rørbæk"@da
<http://www.wikidata.org/entity/Q179806>	"Århus Stiftstidende"@da
<http://www.wikidata.org/entity/Q180689>	"Fuglse Sogn"@da
<http://www.wikidata.org/entity/Q183315>	"Storstrøms Amt"@da
<http://www.wikidata.org/entity/Q183572>	"Vordingborg Kommune"@da
<http://www.wikidata.org/entity/Q185218>	"Ørbæk Kommune"@da
<http://www.wikidata.org/entity/Q185326>	"Ejer Bavnehøj"@da
